Company Name,Data Descriptions,Tags,Date,Link,Data Volume
CK Associates,"Clients and customers data., Finance data., Engineering and technologies., Contract data and NDA’s., Incidents and accidents., Operational and business files., Mailboxes & Internal and external email correspondence.","us, environmental_services","Sep 17, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/c-ka.com/,1 Tb
Thompson Davis & Co,"Personal Data., Customer data (IRA/SSN/Passport/Driver’s license), Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.","usa, finance","Sep 13, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/thompsondavis.com/,200 Gb
Benson Kearley IFG - Insurance Brokers & Financial Advisors,"Customer data banks, Medical, Business, Auto and Cyber insurance policies., Passports and ID’s, Data banks of both companies paperwork with it’s clients, including confidential files, contracts, etc., Operational data., Audit data., Business files., Accounting data., HR Folders., File server data., Network users folders","canada, insurance","Sep 12, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bkifg.com/,1.4 Tb
Augusta Orthopedic,"Personal Data., Accounting, budget, financial data., Patients medical and personal data., Email and msg archives.","usa, healthcare","Sep 12, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ortho-augusta.com/,2.5 Tb
"Law Offices of Michael J Gurfinkel, Inc","Client’s Personal Data., Accounting, budget, financial data., Files from Top Management PC., Incidents and accidents., Operational and business files., Mailboxes & Internal and external email correspondence.","us, law","Sep 11, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/gurfinkel.com/,400 Gb
Majestic Metals,"Finance data, HR data, Partners and customers data, Engineering and technologies, Mailboxes, Internal and external email correspondence, Databases","usa, manufacturing","Sep 10, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/fathommfg.com/,735 Gb
GCA Global Cargo Alliance,"Finance data, HR data, Partners and vendors data, Clients and customers private data, Mailboxes, Internal and external email correspondence, Databases","usa, logistics","Sep 10, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/gcargo.com/,1 Tb
"Smart Source, Inc.","NDA, Financial data, Clients data, QuickBooks, Email archive","usa, it","Sep 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/smartsource-inc.com/,700 Gb
Anniversary Holding,"Finance data, HR data, Four of AHCLA’s relative companies’ data, Partners, vendors, and customers data, PII and PHI records (including injury reports, health and medical records), Mailboxes, Internal and external email correspondence","usa, conglomerate","Sep 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ahclallc.com/,2.9 Tb
Keya Accounting and Tax Services LLC,"Personal Data., Accounting, budget, financial data., Clients data: 625 corporate clients, 864 personal clients","usa, tax","Sep 6, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/keyatax.com/,N/A
"Western Supplies, Inc","Clients Personal Data., Employees Personal Data, Accounting Data","usa, wholesalers","Sep 3, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/westernsupplies.com/,247 Gb
Texas Centers for Infectious Disease Associates,"Accounting Data., Medical and Personal Data., Network Users Personal Folders., Files from President PC., Fileserver Data.","usa, healthcare","Aug 30, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/texascentersid.com/,300 Gb
Bunkhouse Group,"Finance data, HR data, Partners’ and vendors’ data, Clients’ private data, Contracts and agreements, Incidents’ reports and images, Mailboxes, Internal and external email correspondence with attachments, Databases","usa, hospitality","Aug 30, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bunkhousegroup.com/,2.7 Tb
Scott Pharma Solutions,"Pharmaceutical data, Fileserver data, Data of network users folders, Medical data","usa, pharmaceutical","Aug 27, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/scottpharma.net/,N/A
M.Royo & KlockMetal,"Supply-chain data, Manufacturing data, Fileserver data, Data of network users folders","argentina, metal_works","Aug 27, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mroyo.com/,N/A
"Atwood & Cherny, P.C.","Clients Personal Data., Employees Personal Data, Accounting Data","us, law","Aug 26, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/atwoodcherny.com/,66 Gb
Sable International,"Personal Data., Accounting, budget, financial data., Business correspondence., Contract data and NDA’s., Operational and business files., Email and msg archives., Confidential information about customers., Individuals and companies from different countries, Databases.","uk, financial","Aug 19, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/sableinternational.com/,200 Gb
"Karvo Companies, Inc.","Financial documents., Business correspondence., Technical Documents, confidential customer information, confidential employee information., NDA","usa, contracting","Aug 18, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/karvocompanies.com/,470 Gb
Playa Vista Job Opportunities and Business Services,"Finance data, HR data, Partners’ data, Candidates’, participants’, and members’ PII records and contacts, Mailboxes, Internal and external email correspondence","usa, recruitment","Aug 16, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/pvjobs.org/,950 Gb
PBC Companies,Company project data.,"usa, design","Aug 16, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/pbccompanies.com/,300 Gb
Mohawk Valley Cardiology PC,"Accounting Data., Medical and Personal Data., Pharmaceutical data., Insurance data., Network Users Personal Folders., Files from President PC., Fileserver Data.","usa, healthcare","Aug 16, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mohawkvalleycardiologypc.com/,80 Gb
Accelon Technologies Private,"Business data, Partners’ and clients’ financials, Multiple PII records of partners’ and clients’ employees, Internal and external email correspondence, SQL databases, Source code","india, it","Aug 16, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/accelontech.com/,480 Gb
Southwest Family Medicine Associates,"HR data, Patients’ and partners’ confidential data, PII and PHI data, Test results and images, Internal and external email correspondence, Databases","usa, healthcare","Aug 12, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/southwestfamilymed.com/,400 Gb
"Florence Cement Company, Inc.","Operational and business files., Accounting, budget, financial data., Files from CFO PC., Technical data., Personal Data., Contract data and NDA’s., Accidents., Email and msg archives.","usa, contracting","Jul 26, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/florencecement.com/,500 Gb
Insula Group,"Project data, Construction data, Details of company clients, Files of network users folders, File server data, Examples of company source codes","australia, it","Jul 18, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/insulagroup.com.au/,400 Gb
Texas Alcohol & Drug Testing Service,"Finance data, HR data, PII records, PHI records, Test results, Mailboxes, Internal and external email correspondence","usa, healthcare","Jul 13, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/tadts.net/,218 Gb
Preferred IT Group,"Databases., Technical data., Business correspondence, confidential customer information, Email and msg archives.","usa, it","Jul 10, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/preferreditgroup.com/,122 Gb
